,lgX,eventId,eventStart,Teamid_0,Teamid_1,siX,btX,marketLineId,marketId,points,american_price,price,sourcePrice
151,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt1,-155,222163823,1513928,,-155,-155.0
152,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt2,-110,222152880,1513911,-1.0,-110,1.96078
153,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt3,-110,222152882,1513920,-1.0,-110,2.04081
154,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt1,-110,222152878,1513928,,-110,1.62601
155,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt2,110,222154058,1513911,-1.5,110,110.0
156,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt3,-118,222154070,1513920,7.5,-118,-118.0
157,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt1,-143,222154051,1513928,,-143,-143.0
158,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt2,105,222152237,1513911,-0.5,105,2.05
159,lg1:pt6:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt3,-110,222152234,1513920,9.5,-110,1.91
160,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt2,130,222151967,1513904,-1.5,130,2.3
161,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt3,-110,222151997,1513910,11.5,-110,1.90909091
162,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt1,-125,222152010,1513918,0.0,-125,1.8
163,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt2,-126,222163840,1513904,0.5,-126,-126.0
164,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt3,-108,222163845,1513910,10.5,-108,-108.0
165,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms8:an0,bt1,109,222163834,1513918,,109,109.0
166,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt2,-110,222152888,1513904,-1.0,-110,2.04081
167,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt3,-110,222152895,1513910,-1.0,-110,1.94174
168,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms11:an0,bt1,-110,222152884,1513918,,-110,1.76991
169,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt2,-143,222154079,1513904,1.5,-143,-143.0
170,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt3,-118,222154084,1513910,12.5,-118,-118.0
171,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms21:an0,bt1,130,222154073,1513918,,130,130.0
172,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt2,105,222152226,1513904,0.0,105,2.05
173,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt3,100,222152241,1513910,10.5,100,2.0
174,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si1:ms60:an0,bt1,105,222152210,1513918,,105,2.05
175,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt2,-160,222151990,1513908,1.5,-160,1.625
176,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt3,-120,222152002,1513914,11.5,-120,1.83333334
177,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms1:an0,bt1,-105,222152014,1513923,0.0,-105,1.95238096
178,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt2,-104,222163842,1513908,-0.5,-104,-104.0
179,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt3,-123,222163847,1513914,10.5,-123,-123.0
180,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms8:an0,bt1,-143,222163838,1513923,,-143,-143.0
181,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt2,-110,222152891,1513908,-1.0,-110,1.81818
182,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt3,-110,222152898,1513914,-1.0,-110,1.90476
183,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms11:an0,bt1,-110,222152886,1513923,,-110,2.10526
184,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt2,105,222154082,1513908,-1.5,105,105.0
185,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt3,-118,222154087,1513914,12.5,-118,-118.0
186,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms21:an0,bt1,-105,222154076,1513923,,-105,-105.0
187,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt2,-135,222152229,1513908,0.0,-135,1.74
188,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt3,-125,222152242,1513914,10.5,-125,1.8
189,lg1:pt7:live,21911,2022-12-16T01:15:00,27,28,si0:ms60:an0,bt1,-135,222152212,1513923,,-135,1.74
190,lg1:pt2:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt2,125,222151977,1513906,3.5,125,2.25
191,lg1:pt2:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt3,-115,222152001,1513913,16.5,-115,1.86956522
192,lg1:pt2:live,21911,2022-12-16T01:15:00,27,28,si1:ms1:an0,bt1,440,222152019,1513924,0.0,440,5.4
193,lg1:pt2:live,21911,2022-12-16T01:15:00,27,28,si1:ms2:an0,bt2,-156,222152747,1513906,7.5,-156,-156.0
194,lg1:pt2:live,21911,2022-12-16T01:15:00,27,28,si1:ms2:an0,bt3,-154,222152749,1513913,14.5,-154,-154.0
195,lg1:pt2:live,21911,2022-12-16T01:15:00,27,28,si1:ms6:an0,bt2,-110,222153682,1513906,-1.0,-110,-110.0
